# These data are freely available under the Creative Commons Attribution International (CC BY 4.0) Licence.
# When using the data please cite:
# Geiger, T.; Frieler, K.; Bresch, D.N. (2017) A global data set of tropical cyclone exposure (TCE-DAT). GFZ Data Services, http://doi.org/10.5880/pik.2017.005
# 
# Generated using the climada module ISIMIP v1.0, available under: https://github.com/davidnbresch/climada_module_isimip/releases/tag/v1.0
# 
year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
1952,1952162N15118,CHARLOTTE,,WP,multi,CHN,49.5,96.1,29992140.0,52362018075.0,4533912.0,7075218014.0,0.0,0.0
1952,1952162N15118,CHARLOTTE,,WP,multi,HKG,22.0,42.8,2295493.0,18930448239.0,0.0,0.0,0.0,0.0
1952,1952165N15261,UNNAMED,,EP,single,MEX,20.8,40.4,87974.0,293700137.0,0.0,0.0,0.0,0.0
1952,1952171N12130,DINAH,,WP,multi,JPN,56.8,110.5,28399234.0,3.06867709082e+11,1180192.0,11930135766.0,2352.0,42798675.0
1952,1952178N15123,UNNAMED,,WP,single,CHN,21.1,41.0,3023620.0,3722819164.0,0.0,0.0,0.0,0.0
1952,1952191N23124,FREDA,,WP,single,JPN,21.0,40.9,574330.0,7160350326.0,0.0,0.0,0.0,0.0
1952,1952197N27130,GILDA,,WP,multi,CHN,33.1,64.3,14561326.0,20941241175.0,0.0,0.0,0.0,0.0
1952,1952197N27130,GILDA,,WP,multi,JPN,24.2,47.0,350514.0,1900599040.0,0.0,0.0,0.0,0.0
1952,1952206N09134,HARRIET,,WP,multi,CHN,65.4,127.1,19224682.0,29936231163.0,9505118.0,13330736020.0,4259667.0,5582075591.0
1952,1952206N09134,HARRIET,,WP,multi,PHL,44.6,86.7,256837.0,577381227.0,579.0,3240768.0,0.0,0.0
1952,1952215N13131,JEANNE,,WP,single,JPN,29.7,57.8,286.0,9719357.0,0.0,0.0,0.0,0.0
